gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
0610012G03Rik,-0.263580435,0.335000121,-0.131774761,0.506358391,1.44658392,8.00E-06,1.578389594,1.02E-06,#N/A
1700037H04Rik,0.094945204,0.857443639,0.338368476,0.29780675,-3.001995092,1.28E-06,-2.758571821,7.26E-07,#N/A
1700102P08Rik,-0.076664469,0.761436521,0.527348922,0.028724043,0.560164692,0.00362828,1.164178084,3.86E-06,#N/A
1810009J06Rik,0.257293093,0.478768433,0.544547057,0.057422048,-2.04584378,4.20E-06,-1.758589817,4.34E-06,#N/A
2210010C04Rik,0.221151638,0.676358702,0.117510489,0.765595101,0.810730612,0.031367163,0.707089463,0.031566017,#N/A
2210016F16Rik,-0.102739494,0.489651305,-0.138899644,0.184042978,-0.63615927,4.56E-05,-0.67231942,8.17E-06,#N/A
2610301B20Rik,NA,NA,0.106041125,0.327808714,NA,NA,NA,NA,#N/A
3110082I17Rik,0.1040024,0.782655891,0.052733508,0.851367944,-0.442905129,0.073620325,-0.494174021,0.027711882,#N/A
4930407I10Rik,-0.196903165,0.928590363,NA,NA,NA,NA,NA,NA,#N/A
4931406C07Rik,0.08731009,0.749574195,0.502800111,0.033462121,-0.219746407,0.219130077,0.195743615,0.209818517,#N/A
4933427D14Rik,0.483116019,0.551646791,0.653240207,0.24460689,-0.423468517,0.444637864,-0.253344329,0.604871315,#N/A
5031439G07Rik,0.279805362,0.423153134,0.135178443,0.60423944,-2.696757305,3.03E-07,-2.841384225,4.87E-08,#N/A
5730455P16Rik,NA,NA,0.306837338,0.311186991,NA,NA,NA,NA,#N/A
6030458C11Rik,-0.102294838,0.837488864,-0.478644944,0.129751676,2.88076065,1.18E-06,2.504410543,1.10E-06,#N/A
8030462N17Rik,-0.134078014,0.747679763,0.069270571,0.823778031,0.250801434,0.355604101,0.454150018,0.065145018,#N/A
9530053A07Rik,NA,NA,0.581475154,0.084196711,NA,NA,NA,NA,#N/A
9930111J21Rik1,0.419016755,0.094120974,0.11403623,0.408322463,0.784187997,7.34E-05,0.479207472,0.001099845,#N/A
AA792892,0.32105121,0.456753428,0.204716162,0.510822712,0.855775876,0.010314351,0.739440828,0.010818358,100554
