gene,logfc_oldko_oldwt,pval_oldko_oldwt,logfc_youngko_youngwt,pval_youngko_youngwt,logfc_youngko_oldko,pval_youngko_oldko,logfc_youngwt_oldwt,pval_youngwt_oldwt,ENTREZID
A1bg,-3.540393818,0.278890075,0.01073214,0.997159878,1.333444927,0.815320301,-2.217681031,0.517359789,117586
A2m,0.858751251,0.691418223,0.785296305,0.843524622,-0.919382633,0.815036763,-0.845927688,0.750543913,232345
Acadm,-0.753454636,0.57424238,-0.398986845,0.870161547,0.277876504,0.920771439,-0.076591286,0.980545193,11364
Ace,1.37555756,0.029786939,-0.47179362,0.694654669,-0.287983676,0.703085253,1.559367503,0.038625725,11421
Aco2,1.159170815,0.341704614,0.040662454,0.997159878,-0.849828985,0.645987761,0.268679375,0.857851596,11429
Acp1,-1.044706831,0.254720599,-0.7407022,0.701593182,-0.669710927,0.619677664,-0.973715558,0.29146224,11431
Acta1,-1.155388916,0.158877318,0.486703658,0.74013472,0.916041386,0.474283826,-0.726051189,0.35617214,11459
Actbl2,-1.292006441,0.133577409,0.453907075,0.74013472,1.077730823,0.407412057,-0.668182694,0.396026118,238880
Actc1,-1.155388916,0.158877318,0.486703658,0.74013472,0.916041386,0.474283826,-0.726051189,0.35617214,11464
Actg1,-1.352209156,0.129548072,0.477754199,0.74013472,1.121555886,0.384104815,-0.708407469,0.379821796,11465
Actn1,-1.475749097,0.243535521,0.342800935,0.873783619,1.437120845,0.50479044,-0.381429186,0.805523432,109711
Actn4,-1.167508021,0.208354447,0.583329837,0.73959492,0.957686201,0.513152805,-0.793151657,0.381527603,60595
Actr2,-0.506903746,0.349761728,0.7765388,0.625852236,0.4566042,0.552616977,-0.826838346,0.141334366,66713
Actr3,0.064733547,0.898449409,0.354979832,0.733939076,-0.027449824,0.967382967,-0.317696109,0.54874194,74117
Add1,0.66078709,0.290410327,-0.28974817,0.789988466,0.207793594,0.845649522,1.158328854,0.082497068,11518
Add2,-2.417764422,0.012085753,-0.474901187,0.74013472,-0.109606023,0.936684623,-2.052469258,0.038625725,11519
Adipoq,-0.753164753,0.389689458,-0.286424992,0.847285189,0.649958544,0.619677664,0.183218784,0.864126192,11450
Adsl,-1.465406309,0.229825189,-0.183154814,0.931613224,0.601461383,0.728798948,-0.680790112,0.606250759,11564
Afm,-0.724820015,0.2297688,-0.483434496,0.701593182,0.107706967,0.922086131,-0.133678552,0.857851596,280662
Agt,-0.005783621,0.989398691,-0.218683859,0.799688365,-0.138828819,0.876729007,0.074071419,0.917762604,11606
Ahcy,-1.6279514,0.075281402,-0.724788802,0.691800382,-0.168505367,0.909723662,-1.071667964,0.182463981,269378
Ahsg,0.64426127,0.252321702,-0.126049164,0.878291622,0.540404539,0.533376495,1.310714973,0.041873281,11625
Alb,-0.382765409,0.581752044,-0.723459582,0.654905946,0.30130259,0.8176536,0.641996763,0.390257879,11657
Albfm1,0.405525359,0.485551782,-0.88028111,0.587536572,-0.177951761,0.849113941,1.107854708,0.073852814,622307
Aldh16a1,0.538105763,0.698589964,-1.003341071,0.733939076,-0.936980966,0.676295401,0.604465868,0.729674911,69748
Aldh1a1,-1.038598873,0.236561951,-0.263779354,0.859164444,-0.434992379,0.726745653,-1.209811898,0.171062773,11668
Aldh2,-0.742306447,0.570215913,-0.018110797,0.997159878,-0.961248574,0.638044596,-1.685444225,0.21618997,11669
Aldh9a1,0.476597845,0.657864229,-0.092724911,0.969196788,-2.056639941,0.235861321,-1.487317185,0.187395039,56752
Aldoa,-0.630595259,0.237202681,0.131583594,0.873783619,0.477619122,0.539258372,-0.284559731,0.617513766,11674
Aldob,0.067786607,0.928372172,-0.223887061,0.846241099,-0.245555644,0.834297072,0.046118024,0.969522549,230163
Alox12,-0.45206504,0.636061091,0.374402999,0.842829494,0.62610608,0.680889214,-0.200361959,0.870889014,11684
Ambp,1.258932366,0.070953569,0.417120487,0.733939076,-0.381462645,0.676295401,0.460349234,0.450152976,11699
Amy2,1.925021697,0.080407045,-0.756457057,0.733939076,-0.847639724,0.550487816,1.83383903,0.082497068,100043684
Angptl3,0.783311263,0.182167369,-0.579519651,0.654905946,-0.513422576,0.539258372,0.849408339,0.148344234,30924
Ank1,-2.630531737,0.012085753,-1.016611366,0.636038213,-0.219043396,0.876729007,-1.832963766,0.05003375,11733
